# y+ ()       
# Time        	patch         	min           	max           	average       
18.2          	topWall	5.141203e-01	1.715354e+00	6.447651e-01
18.3          	bottomWall	5.212605e-01	1.553342e+00	6.450898e-01
18.3          	topWall	5.149949e-01	1.526117e+00	6.447045e-01
18.4          	bottomWall	5.187717e-01	1.961698e+00	6.450336e-01
18.4          	topWall	5.150855e-01	1.617673e+00	6.447514e-01
18.5          	bottomWall	5.161844e-01	1.648714e+00	6.449689e-01
18.5          	topWall	5.146973e-01	1.728298e+00	6.449216e-01
18.6          	bottomWall	5.140954e-01	1.938528e+00	6.447128e-01
18.6          	topWall	5.192459e-01	1.759637e+00	6.450077e-01
18.7          	bottomWall	5.114280e-01	1.520449e+00	6.444799e-01
18.7          	topWall	5.176254e-01	1.634642e+00	6.451874e-01
18.8          	bottomWall	5.102834e-01	1.693248e+00	6.447181e-01
18.8          	topWall	5.158560e-01	1.585804e+00	6.449493e-01
18.9          	bottomWall	5.112431e-01	1.607196e+00	6.448352e-01
18.9          	topWall	5.129021e-01	1.532693e+00	6.450378e-01
19            	bottomWall	5.081276e-01	1.672674e+00	6.447773e-01
19            	topWall	5.112427e-01	1.904432e+00	6.453268e-01
19.1          	bottomWall	5.081012e-01	1.519763e+00	6.445971e-01
19.1          	topWall	5.101554e-01	1.539156e+00	6.453084e-01
19.2          	bottomWall	5.095990e-01	1.632514e+00	6.444031e-01
19.2          	topWall	5.096319e-01	1.728425e+00	6.456167e-01
19.3          	bottomWall	5.075226e-01	1.469248e+00	6.444951e-01
19.3          	topWall	5.089106e-01	1.795913e+00	6.455839e-01
19.4          	bottomWall	5.092139e-01	1.581229e+00	6.445492e-01
19.4          	topWall	5.077668e-01	1.672667e+00	6.458167e-01
19.5          	bottomWall	5.099055e-01	1.576666e+00	6.443752e-01
19.5          	topWall	5.063505e-01	1.583980e+00	6.457181e-01
19.6          	bottomWall	5.114358e-01	1.793552e+00	6.446400e-01
19.6          	topWall	5.046935e-01	1.613669e+00	6.458488e-01
19.7          	bottomWall	5.153688e-01	1.585305e+00	6.447018e-01
19.7          	topWall	5.061234e-01	1.587904e+00	6.459618e-01
19.8          	bottomWall	5.151295e-01	1.686250e+00	6.445003e-01
19.8          	topWall	5.042154e-01	1.438045e+00	6.458697e-01
19.9          	bottomWall	5.156880e-01	2.412190e+00	6.446931e-01
19.9          	topWall	5.053524e-01	1.871598e+00	6.456638e-01
20            	bottomWall	5.163419e-01	1.566249e+00	6.447211e-01
20            	topWall	5.064267e-01	1.736666e+00	6.456054e-01
20.1          	bottomWall	5.156172e-01	1.592757e+00	6.448303e-01
20.1          	topWall	5.082348e-01	1.773368e+00	6.456557e-01
20.2          	bottomWall	5.157592e-01	1.532936e+00	6.447200e-01
20.2          	topWall	5.110971e-01	1.833921e+00	6.455927e-01
20.3          	bottomWall	5.144774e-01	1.638263e+00	6.450037e-01
20.3          	topWall	5.098845e-01	1.756880e+00	6.455129e-01
20.4          	bottomWall	5.143859e-01	1.660968e+00	6.448957e-01
20.4          	topWall	5.097447e-01	1.740642e+00	6.456308e-01
20.5          	bottomWall	5.138701e-01	1.683957e+00	6.449358e-01
20.5          	topWall	5.112370e-01	1.509135e+00	6.453350e-01
